file:   ./traces/P4.lis, capacity:   1024, algo: lru, requests: 19776090, hits:   531000, ratio:  2.69
file:   ./traces/P4.lis, capacity:   1024, algo: arc, requests: 19776090, hits:   532104, ratio:  2.69
file:   ./traces/P4.lis, capacity:   2048, algo: lru, requests: 19776090, hits:   586135, ratio:  2.96
file:   ./traces/P4.lis, capacity:   2048, algo: arc, requests: 19776090, hits:   589127, ratio:  2.98
file:   ./traces/P4.lis, capacity:   4096, algo: lru, requests: 19776090, hits:   655767, ratio:  3.32
file:   ./traces/P4.lis, capacity:   4096, algo: arc, requests: 19776090, hits:   691251, ratio:  3.50
file:   ./traces/P4.lis, capacity:   8192, algo: lru, requests: 19776090, hits:   721899, ratio:  3.65
file:   ./traces/P4.lis, capacity:   8192, algo: arc, requests: 19776090, hits:   823489, ratio:  4.16
file:   ./traces/P4.lis, capacity:  16384, algo: lru, requests: 19776090, hits:   805645, ratio:  4.07
file:   ./traces/P4.lis, capacity:  16384, algo: arc, requests: 19776090, hits:  1139732, ratio:  5.76
file:   ./traces/P4.lis, capacity:  32768, algo: lru, requests: 19776090, hits:  1036143, ratio:  5.24
file:   ./traces/P4.lis, capacity:  32768, algo: arc, requests: 19776090, hits:  2221820, ratio: 11.23
file:   ./traces/P4.lis, capacity:  65536, algo: lru, requests: 19776090, hits:  2127595, ratio: 10.76
file:   ./traces/P4.lis, capacity:  65536, algo: arc, requests: 19776090, hits:  3665287, ratio: 18.53
file:   ./traces/P4.lis, capacity: 131072, algo: lru, requests: 19776090, hits:  4238354, ratio: 21.43
file:   ./traces/P4.lis, capacity: 131072, algo: arc, requests: 19776090, hits:  5421600, ratio: 27.41
file:   ./traces/P4.lis, capacity: 262144, algo: lru, requests: 19776090, hits:  7372110, ratio: 37.28
file:   ./traces/P4.lis, capacity: 262144, algo: arc, requests: 19776090, hits:  7947011, ratio: 40.18
file:   ./traces/P4.lis, capacity: 524288, algo: lru, requests: 19776090, hits:  9529796, ratio: 48.19
file:   ./traces/P4.lis, capacity: 524288, algo: arc, requests: 19776090, hits: 10554881, ratio: 53.37
file:   ./traces/P5.lis, capacity:   1024, algo: lru, requests: 22937097, hits:   962815, ratio:  4.20
file:   ./traces/P5.lis, capacity:   1024, algo: arc, requests: 22937097, hits:   974042, ratio:  4.25
file:   ./traces/P5.lis, capacity:   2048, algo: lru, requests: 22937097, hits:  1041902, ratio:  4.54
file:   ./traces/P5.lis, capacity:   2048, algo: arc, requests: 22937097, hits:  1052318, ratio:  4.59
file:   ./traces/P5.lis, capacity:   4096, algo: lru, requests: 22937097, hits:  1117029, ratio:  4.87
file:   ./traces/P5.lis, capacity:   4096, algo: arc, requests: 22937097, hits:  1147182, ratio:  5.00
file:   ./traces/P5.lis, capacity:   8192, algo: lru, requests: 22937097, hits:  1204552, ratio:  5.25
file:   ./traces/P5.lis, capacity:   8192, algo: arc, requests: 22937097, hits:  1352716, ratio:  5.90
file:   ./traces/P5.lis, capacity:  16384, algo: lru, requests: 22937097, hits:  1292893, ratio:  5.64
file:   ./traces/P5.lis, capacity:  16384, algo: arc, requests: 22937097, hits:  1887135, ratio:  8.23
file:   ./traces/P5.lis, capacity:  32768, algo: lru, requests: 22937097, hits:  1543064, ratio:  6.73
file:   ./traces/P5.lis, capacity:  32768, algo: arc, requests: 22937097, hits:  3275225, ratio: 14.28
file:   ./traces/P5.lis, capacity:  65536, algo: lru, requests: 22937097, hits:  2688564, ratio: 11.72
file:   ./traces/P5.lis, capacity:  65536, algo: arc, requests: 22937097, hits:  5415239, ratio: 23.61
file:   ./traces/P5.lis, capacity: 131072, algo: lru, requests: 22937097, hits:  6350728, ratio: 27.69
file:   ./traces/P5.lis, capacity: 131072, algo: arc, requests: 22937097, hits:  8836506, ratio: 38.52
file:   ./traces/P5.lis, capacity: 262144, algo: lru, requests: 22937097, hits: 12348256, ratio: 53.84
file:   ./traces/P5.lis, capacity: 262144, algo: arc, requests: 22937097, hits: 13239580, ratio: 57.72
file:   ./traces/P5.lis, capacity: 524288, algo: lru, requests: 22937097, hits: 16145925, ratio: 70.39
file:   ./traces/P5.lis, capacity: 524288, algo: arc, requests: 22937097, hits: 15871556, ratio: 69.20
file:   ./traces/P6.lis, capacity:   1024, algo: lru, requests: 12672123, hits:    89738, ratio:  0.71
file:   ./traces/P6.lis, capacity:   1024, algo: arc, requests: 12672123, hits:   106184, ratio:  0.84
file:   ./traces/P6.lis, capacity:   2048, algo: lru, requests: 12672123, hits:   108897, ratio:  0.86
file:   ./traces/P6.lis, capacity:   2048, algo: arc, requests: 12672123, hits:   192494, ratio:  1.52
file:   ./traces/P6.lis, capacity:   4096, algo: lru, requests: 12672123, hits:   138584, ratio:  1.09
file:   ./traces/P6.lis, capacity:   4096, algo: arc, requests: 12672123, hits:   401977, ratio:  3.17
file:   ./traces/P6.lis, capacity:   8192, algo: lru, requests: 12672123, hits:   160182, ratio:  1.26
file:   ./traces/P6.lis, capacity:   8192, algo: arc, requests: 12672123, hits:   752930, ratio:  5.94
file:   ./traces/P6.lis, capacity:  16384, algo: lru, requests: 12672123, hits:   214573, ratio:  1.69
file:   ./traces/P6.lis, capacity:  16384, algo: arc, requests: 12672123, hits:  1642116, ratio: 12.96
file:   ./traces/P6.lis, capacity:  32768, algo: lru, requests: 12672123, hits:   537345, ratio:  4.24
file:   ./traces/P6.lis, capacity:  32768, algo: arc, requests: 12672123, hits:  3021895, ratio: 23.85
file:   ./traces/P6.lis, capacity:  65536, algo: lru, requests: 12672123, hits:  2250737, ratio: 17.76
file:   ./traces/P6.lis, capacity:  65536, algo: arc, requests: 12672123, hits:  4014886, ratio: 31.68
file:   ./traces/P6.lis, capacity: 131072, algo: lru, requests: 12672123, hits:  9653237, ratio: 76.18
file:   ./traces/P6.lis, capacity: 131072, algo: arc, requests: 12672123, hits: 10088823, ratio: 79.61
file:   ./traces/P6.lis, capacity: 262144, algo: lru, requests: 12672123, hits: 11425480, ratio: 90.16
file:   ./traces/P6.lis, capacity: 262144, algo: arc, requests: 12672123, hits: 11428028, ratio: 90.18
file:   ./traces/P6.lis, capacity: 524288, algo: lru, requests: 12672123, hits: 11853467, ratio: 93.54
